Name,playerid,WAR29,WAR30,WAR31,WAR32
Dave Righetti,1010958,1.4,1.2,-0.4,0.6
Bob Stanley,1012409,1.1,0.7,0.8,1.9
Wes Stock,1012553,-0.5,0.7,-1.4,0.1
Chad Durbin,1442,-0.2,1.0,-0.4,0.2
Jose Veras,2063,0.1,0.7,0.3,0.7
Dennis Leonard,1007531,3.5,3.7,0.3,1.2
Donn Pall,1009968,0.3,-0.6,0.8,0.3
Ray Burris,1001729,0.6,1.2,-0.5,1.5
Mike Moore,1009122,4.4,1.3,3.4,1.4
Mark Thurmond,1013052,0.4,0.3,-0.4,0.7
Bob Walk,1013507,0.2,1.1,3.2,1.5
Brett Tomko,1056,1.3,1.0,2.7,2.3
Jack Billingham,1000970,2.5,3.7,3.0,0.5
Bill Campbell,1001874,1.8,0.2,0.2,0.2
Dan Osinski,1009875,0.4,1.0,0.2,0.0
Gary Peters,1010228,4.2,4.6,2.6,3.2
Carl Willey,1013965,0.1,0.6,0.3,0.4
Jamie Easterly,1003639,-0.5,0.3,1.1,0.3
Dennis Rasmussen,1010703,2.4,0.8,0.3,1.7
Bob Welch,1013750,5.4,4.5,3.0,3.0
Bob Wickman,413,1.0,0.8,1.8,2.0
Mark Clark,1002296,2.2,4.1,-0.1,-0.4
Josh Beckett,510,4.3,1.0,3.8,2.0
Arthur Rhodes,1097,-0.4,1.6,2.5,2.9
Steve Kline,1164,0.7,-0.1,0.6,-0.7
J.P. Howell,8245,-0.4,0.9,0.4,0.3
Rick Camp,1001901,0.8,0.8,1.2,-0.3
Mark Langston,1007323,4.6,3.0,5.4,5.6
Tim Stoddard,1012556,0.5,-0.6,0.0,0.1
Kiko Calero,1676,0.7,0.7,1.5,0.2
Gene Nelson,1009501,0.6,-1.6,-0.1,0.7
Mark Hendrickson,1574,1.7,2.2,1.6,2.1
Darold Knowles,1007058,0.6,0.0,-0.2,-1.1
Gregg Olson,1009791,-0.2,0.3,1.1,0.0
Joe Price,1010530,-0.1,0.3,0.2,0.2
Bobby Witt,1014170,3.2,0.9,3.6,2.5
Gene Conley,1002507,4.4,1.7,3.9,0.1
Dave McNally,1008655,3.0,3.2,2.9,0.1
Brad Penny,535,4.4,0.0,1.8,0.9
Sterling Hitchcock,824,0.4,1.2,0.4,0.3
David Weathers,902,0.1,0.5,1.1,0.5
Marco Estrada,1118,1.4,-0.3,1.9,2.8
Darryl Kile,1163,3.2,0.9,4.3,4.5
Arnold Earley,1003626,0.2,0.9,1.1,0.6
Ken Holtzman,1005989,3.6,1.7,0.2,-0.9
Rob Murphy,1009374,1.9,-0.6,0.3,0.5
Rick Sutcliffe,1012734,2.4,1.5,3.4,3.2
Todd Stottlemyre,75,2.0,4.1,2.3,3.3
Mike Mussina,837,5.1,6.0,6.4,6.9
Alan Embree,1030,0.5,0.6,-0.3,1.6
Rod Beck,1730,1.1,0.1,0.9,-0.6
Steve Mingori,1008978,-0.1,0.7,0.4,0.8
Elmer Dessens,317,3.0,2.2,1.6,2.2
Shawn Estes,873,1.5,0.6,0.7,0.8
Tim Lincecum,5705,1.4,0.0,0.3,-0.7
Tony Sipp,8280,-0.3,0.8,0.9,-0.8
Joe Gibbon,1004658,1.7,1.3,1.5,1.1
Curt Young,1014368,0.4,-0.2,-0.7,0.9
Charles Nagy,397,5.4,2.9,1.3,3.2
John Thomson,453,3.9,3.2,2.0,0.4
Tom Wilhelmsen,9975,0.3,0.1,0.7,-0.9
Doug Henry,1005668,-0.2,-0.7,0.5,0.1
Roy Lee Jackson,1006311,0.4,-0.1,0.3,0.1
Randy Jones,1006582,3.6,1.2,-0.9,-0.3
Tom Candiotti,1001911,1.3,4.5,4.4,2.3
Jesse Orosco,667,0.4,1.6,-0.4,1.1
Francisco Rodriguez,1642,1.3,0.2,0.3,-0.6
Dock Ellis,1003747,3.0,1.9,1.2,3.1
Mike Flanagan,1004133,1.5,2.7,1.8,2.4
Rick Honeycutt,1005992,2.8,1.9,1.5,3.1
Tim Belcher,1000789,4.1,3.1,3.0,1.2
Steve Carlton,1001964,5.3,3.5,5.1,5.1
Jim Kaat,1006660,3.9,3.5,3.2,5.9
Eric Plunk,1010400,1.5,1.6,1.1,1.7
Bill Singer,1012007,6.2,2.6,0.6,1.8
Ray Washburn,1013652,2.3,3.7,1.7,-0.7
Braden Looper,526,1.7,-0.6,1.1,1.4
Joaquin Andujar,1000266,5.5,1.6,3.1,3.1
Kyle Farnsworth,278,1.5,1.1,-0.2,-0.7
Doug Brocail,551,-0.2,0.4,1.7,1.8
Randy Wolf,976,-0.1,1.9,2.6,3.0
Mark Davis,1003067,-0.6,0.0,-0.9,-0.3
Joe Horlen,1006025,3.5,1.6,3.5,2.5
