Name,playerid,WAR1,WAR2,WAR3,WAR4,WAR5,WAR6,WAR7,WAR8,WAR9
Javier Vazquez,801,0.5,2.2,5.2,6.1,4.6,6.0,2.0,3.5,4.7
C.J. Wilson,3580,0.3,0.0,0.7,-0.5,1.8,4.3,5.2,2.6,2.9
Bill Lee,1007448,-0.2,0.5,1.1,0.3,5.2,3.7,3.5,-0.2,1.2
Bruce Ruffin,1011294,2.7,2.5,0.4,0.7,0.9,2.2,-0.3,1.7,0.7
Tom Glavine,90,0.0,2.0,2.0,2.9,5.4,4.6,3.3,3.6,4.3
Mark Redman,491,2.2,0.5,4.0,4.2,1.4,2.1,1.2,0.3,0.1
Dennis Martinez,1008161,2.3,3.8,4.3,-0.2,2.8,1.9,0.7,0.1,0.0
Scott Schoeneweis,33,0.3,1.7,2.0,0.1,1.0,0.9,0.9,0.2,-0.4
Larry Gura,1005150,-0.2,0.7,1.1,1.8,0.0,1.1,3.1,1.3,4.1
Jim Mecir,930,0.0,0.0,1.3,1.9,1.2,0.7,0.1,0.6,0.4
Kevin Correia,1767,0.0,-0.4,1.0,1.1,0.4,3.1,0.1,0.3,0.9
Jim Brewer,1001406,0.3,-0.5,1.1,0.2,0.8,0.2,0.8,0.7,1.1
Erik Hanson,1005333,0.9,2.4,6.6,3.5,3.1,4.9,3.1,4.1,3.0
Eddie Guardado,727,0.5,0.3,0.3,0.4,0.0,0.4,-0.5,1.4,1.2
Jason Grilli,521,-0.2,0.0,0.6,1.0,0.4,0.5,1.3,1.5,0.3
Jason Hammel,4538,0.3,0.3,-0.2,3.5,3.2,1.1,2.6,0.6,1.8
