Name,playerid,WAR1,WAR2,WAR3,WAR4,WAR5,WAR6,WAR7,WAR8,WAR9,WAR10,WAR11,WAR12,WAR13
Tom Gordon,282,2.4,2.5,1.6,1.0,2.5,2.2,3.5,2.8,4.4,2.7,1.5,0.7,2.1
Fergie Jenkins,1006388,1.8,4.5,6.3,8.2,9.5,9.6,4.8,4.2,7.8,2.7,3.7,2.3,5.3
Don Sutton,1012745,4.7,3.0,4.0,3.9,1.9,7.1,6.8,6.0,4.7,5.4,3.3,3.8,2.7
Jose Mesa,961,-0.1,0.5,0.8,0.9,2.9,1.7,2.1,1.4,1.0,0.4,-0.9,0.4,1.6
Bobby Bolin,1001146,-0.4,0.6,1.4,1.4,1.6,1.9,-0.6,2.6,1.0,0.0,0.5,0.2,0.5
Don Robinson,1011061,3.4,2.5,2.1,-0.5,1.0,0.0,2.0,0.8,0.5,1.5,2.7,1.7,1.3
CC Sabathia,404,2.7,3.6,3.5,2.8,3.6,5.0,6.4,7.4,5.8,5.5,5.8,4.0,2.1
Fernando Rodney,494,0.4,0.5,0.6,0.3,0.3,0.2,-0.4,2.2,1.2,1.0,-0.8,0.4,1.3
Ron Darling,1002989,0.6,1.0,2.2,3.5,2.0,2.6,2.7,0.2,1.5,2.5,1.0,2.3,0.7
Terry Mulholland,665,0.2,0.6,1.4,2.4,4.6,3.8,2.9,0.5,0.1,2.5,1.3,1.4,2.1
Dan Haren,1757,0.7,0.5,3.7,3.8,4.7,6.1,5.3,3.6,5.9,1.8,1.5,1.7,1.0
Larry Andersen,1000236,1.1,-0.7,0.8,0.4,0.8,1.3,1.4,2.3,2.7,1.7,0.8,1.5,0.3
Tommy John,1006515,1.1,3.0,3.8,2.6,2.9,3.8,4.4,4.5,3.0,3.3,3.7,3.5,5.1
Milt Pappas,1009989,3.0,1.4,1.2,2.1,4.8,3.0,3.7,3.8,2.2,1.4,3.3,3.3,3.1
Esteban Loaiza,1310,1.2,-0.2,2.9,1.0,2.5,2.9,2.1,2.3,6.9,1.2,4.7,2.4,-0.5
Dave Giusti,1004748,0.4,1.0,2.0,2.7,3.8,1.2,1.3,0.4,1.1,0.2,1.7,0.4,-0.6
Greg Harris,1005415,0.4,0.2,0.3,2.0,1.4,1.7,-0.1,-0.1,2.6,2.5,0.5,1.2,-0.2
Jerry Reuss,1010853,2.0,1.4,2.8,4.0,2.5,4.6,2.9,3.9,1.0,2.9,4.6,2.5,5.5
Pedro Astacio,862,1.8,2.6,1.5,1.0,2.6,3.0,1.6,4.2,3.5,3.2,1.0,-0.4,1.3
Jeff Nelson,1092,-0.5,0.4,0.4,2.2,1.3,1.0,0.4,0.3,1.3,1.1,0.5,1.1,0.1
Bob McClure,1008400,1.4,-0.5,-0.1,0.6,0.8,0.9,1.6,0.2,0.9,-0.3,-0.2,1.0,0.0
Rick Rhoden,1010887,0.7,1.2,3.2,1.6,1.7,2.0,3.6,5.0,4.3,2.7,4.6,2.5,2.0
John Burkett,179,2.5,2.3,2.8,4.5,2.4,2.2,4.6,4.6,4.1,2.4,2.5,5.1,1.8
Tom Burgmeier,1001668,-0.1,-0.1,0.5,0.6,-0.2,0.2,0.6,-0.3,-1.1,-0.3,1.2,3.0,0.4
Mike Krukow,1007185,2.7,1.7,2.3,2.9,2.1,3.8,2.0,1.4,3.5,4.2,1.3,1.1,-0.1
Juan Marichal,1008106,1.6,2.3,1.7,6.7,6.4,6.8,6.3,3.7,5.9,7.8,3.2,4.0,1.5
Paul Assenmacher,1000344,0.8,-0.2,1.1,1.6,1.4,2.2,0.7,0.5,0.7,0.8,1.4,1.0,0.6
Jamey Wright,715,1.0,0.6,1.5,1.0,1.8,0.8,-0.2,0.6,0.6,0.8,0.4,0.6,-0.4
Roger Clemens,815,3.4,2.3,7.1,8.4,9.2,5.1,8.2,8.5,7.6,3.7,4.2,2.4,6.8
Eddie Fisher,1004085,-0.4,2.2,1.0,0.4,0.5,0.6,0.1,0.2,0.2,0.2,0.1,-0.3,0.9
