"Name","playerid","WAR1","WAR2","WAR3","WAR4","WAR5","WAR6","WAR7","WAR8","WAR9","WAR10","WAR11","WAR12","WAR13","Cluster"
"Greg Swindell","     76","0.9","1.4","6.3","3.3","2.7","5.9","4.6","2","1.2","1","-0.7","1.4","0","D"
"Greg Maddux","    104","0.4","1.5","3.7","3.7","5.1","5.8","7","7.5","7.4","7.9","7.8","8","7.5","N"
"LaTroy Hawkins","    729","-0.1","1.6","1.4","1.1","-0.1","1.6","2.6","1.4","0.2","0.7","0.2","0.8","0.5","A"
"Mike Hampton","    430","-0.1","2.3","2.4","3.1","2.3","4.9","4.6","1.9","0.3","2.6","1.9","1","0.2","D"
"Steve Trachsel","    898","1.5","0.7","1.6","1.7","1.8","2.5","2.4","2","2.1","1.8","1.5","0.1","0.5","B"
"Don McMahon","1008629","-0.7","0.2","0.9","-0.5","0.8","0.1","0.1","0.3","0.8","0.9","0.2","-0.2","-0.1","A"
"Barry Zito","    944","2.1","4.8","4.5","4.4","3.1","3","2.2","1.6","1.3","2","1.8","-0.6","1","E"
"Mike Timlin","   1187","1.5","0.7","0.2","0.2","1.3","1.4","0.6","1.8","0.3","0.1","0.7","-0.3","1","A"
"Dave Stieb","1012532","1.6","4.3","2.9","4.8","5.1","5.6","4.5","0.8","2.5","3.1","2.7","4.3","0.8","H"
"Rick Aguilera","1000086","2","1.6","1.6","3.6","1.3","1.5","0.8","1","0.8","1.3","1.5","0.8","1.4","B"
"Dick Ruthven","1011330","1.4","3.4","0.4","3.9","2.1","3.4","1.6","3.2","1.6","2.2","2.3","0.7","0.7","B"
"Trevor Hoffman","   1035","0.4","1.6","0.1","2.9","2.3","3.1","2.2","2.6","0.3","2","1.8","1.7","1.3","B"
"Gene Garber","1004493","1","-0.1","0.4","1.8","2.3","1.2","1.1","0.9","0.7","2.2","-0.1","0.9","0.8","A"
"Bruce Hurst","1006222","0","0.4","2.6","1.8","3.3","4.2","3.5","3.8","5.2","4","3.9","2.7","0.1","C"
"Dave Righetti","1010958","3.5","2.9","5.4","2.6","2.7","3","1.2","1.4","1.2","-0.4","0.6","0.3","-0.8","E"
"Bob Stanley","1012409","1.7","2.3","4","2.5","0.3","2","2.3","1.1","0.7","0.8","1.9","0.8","0.5","E"
"Ray Burris","1001729","1.4","0.3","2.4","2.8","2.1","1.8","0.1","0.6","1.2","-0.5","1.5","1.9","0.8","B"
"Mike Moore","1009122","0.4","2.4","4.2","5.9","3.7","3.1","4.6","4.4","1.3","3.4","1.4","0.3","-0.3","D"
"Brett Tomko","   1056","1.5","3.6","1.4","0.5","-0.5","1.3","1","2.7","2.3","1","1.2","0.5","0","A"
"Jack Billingham","1000970","0.3","-0.2","3.7","4.1","2.5","3.7","3","0.5","0.7","1","2","1.7","-0.8","B"
"Bill Campbell","1001874","0.6","2.2","0.7","1.7","1.7","1.8","0.2","0.2","0.2","0.9","2","0.6","0.2","A"
"Joaquin Benoit","   1437","0.7","-0.1","1","1.5","1.2","1.8","-0.2","1.7","1.2","0.1","1.4","1.2","0.2","A"
"Bob Welch","1013750","2.4","1","2.9","1.9","3.3","3.7","2.8","2.1","5.4","4.5","3","3","1.8","C"
"Bob Wickman","    413","0.7","0.9","1.6","0.8","0.6","1.1","1","0.8","1.8","2","0.7","-0.3","1.6","A"
"Josh Beckett","    510","1.9","4","3.3","4.2","1","5.7","4.3","4.3","1","3.8","2","0.1","0.5","D"
"Arthur Rhodes","   1097","0.1","2","-0.4","0.5","0.2","1","1.9","1","-0.4","1.6","2.5","2.9","0.9","A"
"Mark Langston","1007323","4.4","-0.7","4.1","6.4","4","4.8","4.6","3","5.4","5.6","1.6","4.1","1.7","C"
"Gene Nelson","1009501","-0.3","0.9","-0.4","0.6","0","1.4","1.8","0.5","1","0.6","-1.6","-0.1","0.7","A"
"Darold Knowles","1007058","0.9","0.6","0.9","0.2","0.8","0.6","0","-0.2","-1.1","1.7","0.4","-0.2","-0.2","A"
"Bobby Witt","1014170","0.8","1.7","2.4","2.5","5","0.9","1.3","3.2","0.9","3.6","2.5","1.5","-0.3","B"
"Dave McNally","1008655","1.2","1.4","2.3","3","0.7","4.5","4.7","4.9","1.8","3","3.2","2.9","0.1","F"
"David Weathers","    902","0.9","1","0.4","0.4","1.9","0.1","0.5","1.1","0.5","0.7","-0.3","0.7","-0.4","A"
"Ken Holtzman","1005989","3","0.2","2.3","5.1","5.8","3.6","2.7","5","5.5","3.6","1.7","0.2","-0.9","C"
"Rick Sutcliffe","1012734","2.7","-0.4","-0.3","3.5","3","6","2.4","1.5","3.4","3.2","3.7","1.3","3","F"
"Todd Stottlemyre","     75","-0.2","1.2","2.7","2.6","1.4","3","2","4.1","2.3","3.3","4.1","1.4","0.8","F"
"Mike Mussina","    837","1.7","5.3","2.8","3.4","5.1","5.3","5.4","5.1","6","6.4","6.9","4.5","6.1","I"
"Alan Embree","   1030","-0.6","0.9","0","0.5","0.6","-0.3","1.6","0.8","0.4","-0.3","1.1","1.1","0","A"
"Charles Nagy","    397","0","3.2","7","0.6","3.5","3.2","5.4","2.9","1.3","3.2","0","0.5","-0.2","D"
"Tom Candiotti","1001911","0.6","0.2","4.3","1.3","4.5","4.4","2.3","5.8","3.5","4.2","2.5","2.7","1.1","C"
"Jesse Orosco","    667","-0.3","1.3","2.2","1","0.9","0.4","1.6","-0.4","1.1","-0.5","0.5","0.3","2","A"
"Francisco Rodriguez","   1642","0.6","3.7","1.5","2.4","1.9","1.5","0.7","1.5","1.3","0.2","0.3","-0.6","1","B"
"Mike Flanagan","1004133","0.6","4.4","4.5","6","2.9","1.5","2.7","1.8","2.4","0.3","2.6","3.1","1.1","H"
"Rick Honeycutt","1005992","1.5","2.2","2.5","1.5","0.9","2.8","1.9","1.5","3.1","1.8","0.4","0.6","0.9","B"
"Tim Belcher","1000789","0.8","4.1","3.3","1.5","4.1","3.1","3","1.2","1.7","3.8","1.9","1.9","0.1","E"
"Steve Carlton","1001964","0.9","4.4","4","4.9","3.6","3.1","11.1","4.5","5.3","3.5","5.1","5.1","2.8","I"
"Jim Kaat","1006660","-0.3","3.8","5.4","1.9","4.7","4.3","6.4","6.4","3.9","3.5","3.2","5.9","2.6","I"
"Eric Plunk","1010400","-0.5","1.1","0.8","0","0.2","-0.1","0.3","1.5","1.6","1.1","1.7","-0.3","0.5","A"
"Joaquin Andujar","1000266","0.9","1.2","0.6","1.3","1.1","0.6","5.5","1.6","3.1","3.1","0.3","-0.1","-0.3","J"
"Dwight Gooden","1004852","8.3","8.9","4.8","4.5","6","1.8","6.8","4","3.5","3.7","0.1","2.1","0.4","K"
"Kyle Farnsworth","    278","-0.4","-0.3","2","-0.4","1.2","0.3","1.5","1.1","-0.2","-0.7","0.6","0.8","1","A"
"Randy Wolf","    976","0.8","2.9","3.4","3.9","2.5","1.7","0.7","-0.1","1.9","2.6","3","0.7","2.2","E"
"Paul Byrd","    594","-0.3","-0.1","0.8","0.5","-0.1","1.4","3.1","1.7","3.3","1.7","1.8","0.7","0.3","J"
"Jon Lester","   4930","1","0.2","4.2","5.4","5","2.6","2.4","3.3","5.4","4.8","4.2","2.9","1.9","C"
"Stan Bahnsen","1000414","4.4","1","2.3","2.2","3.2","3.3","1.1","1.7","1.1","0.8","-0.6","-0.1","-0.1","B"
"Mariano Rivera","    844","0.3","4.3","2","1.2","2.1","1.9","3.2","1.4","2.5","2.5","2.9","2.2","2","G"
"Mark Buehrle","    225","0.6","4","4.3","4.3","4.5","5.9","1.7","3.3","4.3","3","4","3.1","1.6","H"
"Jose Rijo","    349","0.6","1.3","1.7","0.8","3.8","2.1","4.5","6.1","5.1","7.1","4.1","1.5","0.2","C"
"Tom Gordon","    282","2.4","2.5","1.6","1","2.5","2.2","3.5","2.8","4.4","2.7","1.5","0.7","2.1","G"
"Fergie Jenkins","1006388","1.8","4.5","6.3","8.2","9.5","9.6","4.8","4.2","7.8","2.7","3.7","2.3","5.3","M"
"Don Sutton","1012745","4.7","3","4","3.9","1.9","7.1","6.8","6","4.7","5.4","3.3","3.8","2.7","I"
"Jose Mesa","    961","-0.1","0.5","0.8","0.9","2.9","1.7","2.1","1.4","1","0.4","-0.9","0.4","1.6","B"
"Bobby Bolin","1001146","-0.4","0.6","1.4","1.4","1.6","1.9","-0.6","2.6","1","0","0.5","0.2","0.5","A"
"Don Robinson","1011061","3.4","2.5","2.1","-0.5","1","0","2","0.8","0.5","1.5","2.7","1.7","1.3","A"
"CC Sabathia","    404","2.7","3.6","3.5","2.8","3.6","5","6.4","7.4","5.8","5.5","5.8","4","2.1","I"
