Name,playerid,WAR27,WAR28,WAR29,WAR30,WAR31,WAR32
Mark Thurmond,1013052,1.5,1.6,0.4,0.3,-0.4,0.7
Brett Tomko,1056,0.5,-0.5,1.3,1.0,2.7,2.3
Jack Billingham,1000970,3.7,4.1,2.5,3.7,3.0,0.5
Bill Campbell,1001874,1.7,1.7,1.8,0.2,0.2,0.2
Gary Peters,1010228,4.3,0.7,4.2,4.6,2.6,3.2
Dennis Rasmussen,1010703,1.8,1.1,2.4,0.8,0.3,1.7
Bob Welch,1013750,2.8,2.1,5.4,4.5,3.0,3.0
Bob Wickman,413,0.6,1.1,1.0,0.8,1.8,2.0
Mark Clark,1002296,1.8,3.7,2.2,4.1,-0.1,-0.4
Josh Beckett,510,5.7,4.3,4.3,1.0,3.8,2.0
Arthur Rhodes,1097,1.9,1.0,-0.4,1.6,2.5,2.9
Steve Kline,1164,1.1,1.2,0.7,-0.1,0.6,-0.7
Rick Camp,1001901,1.1,1.4,0.8,0.8,1.2,-0.3
Mark Langston,1007323,4.0,4.8,4.6,3.0,5.4,5.6
Tim Stoddard,1012556,1.8,-0.5,0.5,-0.6,0.0,0.1
Gene Nelson,1009501,0.5,1.0,0.6,-1.6,-0.1,0.7
Darold Knowles,1007058,0.2,0.8,0.6,0.0,-0.2,-1.1
Joe Price,1010530,1.8,0.3,-0.1,0.3,0.2,0.2
Bobby Witt,1014170,0.9,1.3,3.2,0.9,3.6,2.5
Dave McNally,1008655,4.9,1.8,3.0,3.2,2.9,0.1
Brad Penny,535,3.5,3.6,4.4,0.0,1.8,0.9
Sterling Hitchcock,824,1.5,3.0,0.4,1.2,0.4,0.3
Marco Estrada,1118,0.6,2.9,1.4,-0.3,1.9,2.8
Darryl Kile,1163,3.7,4.0,3.2,0.9,4.3,4.5
Ken Holtzman,1005989,5.0,5.5,3.6,1.7,0.2,-0.9
Rob Murphy,1009374,2.1,1.2,1.9,-0.6,0.3,0.5
Rick Sutcliffe,1012734,3.0,6.0,2.4,1.5,3.4,3.2
Todd Stottlemyre,75,1.4,3.0,2.0,4.1,2.3,3.3
Mike Mussina,837,5.3,5.4,5.1,6.0,6.4,6.9
Alan Embree,1030,0.9,0.0,0.5,0.6,-0.3,1.6
Rod Beck,1730,0.4,1.1,1.1,0.1,0.9,-0.6
Steve Mingori,1008978,0.8,-0.1,-0.1,0.7,0.4,0.8
Shawn Estes,873,3.0,2.1,1.5,0.6,0.7,0.8
Tim Lincecum,5705,3.5,0.9,1.4,0.0,0.3,-0.7
Tony Sipp,8280,0.2,0.0,-0.3,0.8,0.9,-0.8
Joe Gibbon,1004658,0.5,2.5,1.7,1.3,1.5,1.1
Curt Young,1014368,1.5,0.0,0.4,-0.2,-0.7,0.9
Charles Nagy,397,3.5,3.2,5.4,2.9,1.3,3.2
John Thomson,453,1.4,2.3,3.9,3.2,2.0,0.4
Tom Wilhelmsen,9975,0.2,1.8,0.3,0.1,0.7,-0.9
Doug Henry,1005668,0.8,0.6,-0.2,-0.7,0.5,0.1
Roy Lee Jackson,1006311,0.0,1.8,0.4,-0.1,0.3,0.1
Randy Jones,1006582,1.5,4.1,3.6,1.2,-0.9,-0.3
Jesse Orosco,667,1.0,0.9,0.4,1.6,-0.4,1.1
Francisco Rodriguez,1642,0.7,1.5,1.3,0.2,0.3,-0.6
Dock Ellis,1003747,3.9,4.4,3.0,1.9,1.2,3.1
Mike Flanagan,1004133,6.0,2.9,1.5,2.7,1.8,2.4
Rick Honeycutt,1005992,1.5,0.9,2.8,1.9,1.5,3.1
Tim Belcher,1000789,3.3,1.5,4.1,3.1,3.0,1.2
Steve Carlton,1001964,11.1,4.5,5.3,3.5,5.1,5.1
Jim Kaat,1006660,6.4,6.4,3.9,3.5,3.2,5.9
Eric Plunk,1010400,-0.1,0.3,1.5,1.6,1.1,1.7
Bill Singer,1012007,2.0,2.3,6.2,2.6,0.6,1.8
Ray Washburn,1013652,1.3,2.3,2.3,3.7,1.7,-0.7
Braden Looper,526,0.5,1.2,1.7,-0.6,1.1,1.4
Joaquin Andujar,1000266,1.1,0.6,5.5,1.6,3.1,3.1
Kyle Farnsworth,278,1.2,0.3,1.5,1.1,-0.2,-0.7
Randy Wolf,976,1.7,0.7,-0.1,1.9,2.6,3.0
Mark Davis,1003067,2.8,2.2,-0.6,0.0,-0.9,-0.3
Joe Horlen,1006025,4.0,3.1,3.5,1.6,3.5,2.5
Mike DeJean,682,0.7,-0.7,-0.1,0.8,0.4,-0.4
Jon Lester,4930,2.6,2.4,3.3,5.4,4.8,4.2
Stan Bahnsen,1000414,3.2,3.3,1.1,1.7,1.1,0.8
Denny Lemaster,1007512,2.0,2.3,2.7,3.8,0.7,-0.1
Doug Bird,1000976,1.4,0.8,0.0,0.4,1.5,1.1
Keith Foulke,231,2.5,2.6,1.3,1.8,1.6,-0.4
Mariano Rivera,844,2.0,1.2,2.1,1.9,3.2,1.4
Jonathan Papelbon,5975,2.8,1.9,1.0,3.0,1.4,1.1
Mudcat Grant,1004952,1.6,1.7,3.0,3.6,1.1,0.5
Fred Norman,1009632,-0.5,1.1,2.2,1.6,3.2,0.6
Bill Swift,1012788,1.5,2.6,1.6,2.7,4.5,1.6
Mark Buehrle,225,1.7,3.3,4.3,3.0,4.0,3.1
Scott Sullivan,357,0.0,0.7,0.9,1.0,-0.2,0.5
Joe Smith,3281,1.3,0.8,0.5,0.9,0.9,-0.3
Jim Bibby,1000945,0.3,1.9,1.9,2.6,2.5,3.8
Jim Deshaies,1003228,0.8,1.0,2.7,0.8,0.1,1.1
Jerry Johnson,1006464,0.3,0.3,-0.2,0.2,-0.3,0.1
Fergie Jenkins,1006388,9.5,9.6,4.8,4.2,7.8,2.7
Don Sutton,1012745,6.8,6.0,4.7,5.4,3.3,3.8
Jose Mesa,961,2.9,1.7,2.1,1.4,1.0,0.4
Matt Garza,3340,4.7,0.9,2.1,2.5,0.4,1.2
Bobby Bolin,1001146,1.9,-0.6,2.6,1.0,0.0,0.5
Steve Hamilton,1005277,1.1,0.8,1.3,0.7,0.0,1.1
Don Robinson,1011061,2.0,0.8,0.5,1.5,2.7,1.7
CC Sabathia,404,7.4,5.8,5.5,5.8,4.0,2.1
Eddie Watt,1013684,1.2,0.8,0.1,0.8,-0.1,-0.1
Jose Valverde,1726,1.6,0.9,1.4,1.1,0.8,0.6
Gary Lucas,1007805,1.4,0.2,0.4,-0.1,1.5,0.3
Ron Darling,1002989,2.6,2.7,0.2,1.5,2.5,1.0
Jeff Montgomery,1009071,2.7,1.6,1.6,1.4,2.6,1.0
Dan Wheeler,120,1.1,1.7,0.8,0.3,0.1,0.1
Terry Mulholland,665,2.4,4.6,3.8,2.9,0.5,0.1
Dan Haren,1757,6.1,5.3,3.6,5.9,1.8,1.5
Turk Farrell,1003950,0.0,5.3,4.3,1.2,3.3,1.0
Milt Pappas,1009989,3.7,3.8,2.2,1.4,3.3,3.3
Brad Radke,748,4.2,4.5,2.1,2.8,5.0,2.2
Esteban Loaiza,1310,2.5,2.9,2.1,2.3,6.9,1.2
Dave Giusti,1004748,2.7,3.8,1.2,1.3,0.4,1.1
Greg McMichael,1008640,1.6,0.8,1.7,1.4,-0.4,-0.5
Jerry Reuss,1010853,2.9,3.9,1.0,2.9,4.6,2.5
Pedro Astacio,862,3.0,1.6,4.2,3.5,3.2,1.0
Jeff Nelson,1092,0.4,2.2,1.3,1.0,0.4,0.3
Mike Bielecki,1000951,0.5,0.4,3.2,1.8,1.0,2.0
George Brunet,1001590,1.1,-0.3,0.6,3.8,0.9,2.6
Russ Ortiz,1124,4.4,2.9,3.0,1.6,-0.3,-1.0
Jon Rauch,1475,0.5,1.7,0.9,0.6,1.3,-0.6
Brian Duensing,4064,1.5,1.3,1.5,0.9,-0.1,-0.4
Joe Saunders,4366,2.2,1.0,1.2,0.3,2.0,0.5
John Axford,9059,1.6,1.5,-0.1,-0.5,-0.4,0.8
Rick Rhoden,1010887,1.7,2.0,3.6,5.0,4.3,2.7
Andy Ashby,637,3.3,1.8,3.8,3.2,2.7,1.9
Jim Owens,1009923,1.5,-0.7,-0.4,1.8,0.5,-0.1
John Burkett,179,2.8,4.5,2.4,2.2,4.6,4.6
Mike Krukow,1007185,2.3,2.9,2.1,3.8,2.0,1.4
Juan Marichal,1008106,6.8,6.3,3.7,5.9,7.8,3.2
John Montefusco,1009065,3.1,2.9,0.7,0.4,0.1,1.8
Paul Assenmacher,1000344,1.1,1.6,1.4,2.2,0.7,0.5
Scott McGregor,1008546,2.4,1.9,3.7,2.1,0.6,0.9
Mike Trombley,758,-0.4,0.4,1.7,1.0,-0.1,0.5
Heathcliff Slocumb,1012069,0.0,1.6,1.2,1.9,0.2,0.2
Jack Aker,1000097,-0.7,-0.2,0.6,-0.1,0.3,-0.3
Chuck McElroy,1008477,0.0,0.6,1.4,1.9,-0.2,0.5
Jeff Shaw,1011823,0.4,0.3,1.2,2.3,1.2,1.1
Roger Clemens,815,8.2,8.5,7.6,3.7,4.2,2.4
Cesar Ramos,3357,-0.1,0.2,0.1,-0.2,0.6,-0.6
Jim Barr,1000606,2.7,3.6,3.1,2.1,1.6,-0.7
Eddie Fisher,1004085,0.4,0.5,0.6,0.1,0.2,0.2
Eric Show,1011937,0.8,1.0,1.6,1.3,1.3,3.0
Ron Herbel,1005685,1.8,0.4,0.5,-0.6,0.3,-0.6
